전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,수정전국매출액,개봉일관객수,개봉일매출액,개봉일매출비율,배우가중치,감독가중치,영화명,개봉일,국적,장르,등급,국내배급사,상장배급사,주요배급사,타겟
500,3853050350000000000,5310510,11657798500.0,1525277,385.305035,59962.0,423428000.0,23.5,2.0,0.4,완득이,2011-10-20,1.0,드라마,2,0.0,1.0,1,1
1602,4401227284500000000,5295801,11664376045.0,1323527,440.12272845,467419.0,3552580600.0,80.5,0.5,0.3,트랜스포머: 사라진 시대,2014-06-25,0.0,액션,2,0.0,1.0,1,1
1313,4435675247400000000,5294119,11870044374.0,1373292,443.56752474,274118.0,1658691350.0,41.5,3.0,0.2,완벽한 타인,2018-10-31,1.0,드라마,1,0.0,1.0,1,0
1418,4538023545000000000,5247794,14670413840.0,1634834,453.8023545,323409.0,2680489690.0,52.7,0.6,0.1,조커,2019-10-02,0.0,액션,1,1.0,0.0,1,1
964,3855535700000000000,5237525,12048296500.0,1562677,385.55357,239692.0,1686274500.0,57.0,0.8,0.2,월드 워 Z,2013-06-20,0.0,드라마,1,0.0,1.0,1,0
617,3765485800000000000,5181014,9052298500.0,1186378,376.54858,431704.0,3182200500.0,25.2,2.3,0.2,타워,2012-12-25,1.0,드라마,2,0.0,1.0,1,0
1627,4213058957900000000,5137993,13177630229.0,1531839,421.30589579,166930.0,1322211700.0,60.9,0.8,0.3,미녀와 야수(미),2017-03-16,0.0,멜로/로맨스,3,1.0,0.0,1,1
1357,4348489291300000000,5063620,10658158413.0,1201461,434.84892913,376530.0,3378735600.0,37.5,2.6,0.2,독전,2018-05-22,1.0,범죄,1,0.0,1.0,1,0
948,4429872450000000000,5062722,14917759000.0,1575363,442.987245,130076.0,1196979000.0,48.0,1.3,0.2,쿵푸팬더 2,2011-05-26,0.0,애니메이션,3,0.0,1.0,1,0
1285,4411345670400000000,5038134,11897439184.0,1294275,441.13456704,145383.0,1229668100.0,24.6,0.6,0.5,아쿠아맨,2018-12-19,0.0,액션,2,1.0,0.0,1,0
1317,4275941017600000000,4971261,10296507676.0,1158151,427.59410176,333316.0,2638788700.0,29.4,2.0,0.15,공작,2018-08-08,1.0,드라마,2,0.0,1.0,1,1
777,3801558693600000000,4968687,12814825236.0,1594626,380.15586936,68222.0,514382600.0,13.0,0.15,0.05,인사이드 아웃,2015-07-09,0.0,애니메이션,3,1.0,0.0,1,1
1687,4098748473600000000,4945484,12306638886.0,1419759,409.87484736,481948.0,3056786300.0,72.9,0.4,0.15,킹스맨: 골든 서클,2017-09-27,0.0,액션,0,1.0,0.0,1,1
1132,3961276429500000000,4875494,12914889095.0,1509471,396.12764295,271226.0,2101911000.0,48.5,0.5,0.25,마션,2015-10-08,0.0,액션,2,1.0,0.0,1,1
1640,3924843259500000000,4857152,12088848195.0,1419464,392.48432595,415741.0,2590457400.0,64.0,1.0,0.05,토르: 라그나로크,2017-10-25,0.0,액션,2,1.0,0.0,1,1
1118,4116395123500000000,4853123,13100185524.0,1446116,411.63951235,272155.0,2368466000.0,71.7,0.4,0.1,어메이징 스파이더맨,2012-06-28,0.0,액션,2,1.0,0.0,1,1
206,3735445267900000000,4801355,9129018879.0,1140795,373.54452679,8607.0,63097500.0,2.5,0.1,0.05,"님아, 그 강을 건너지 마오",2014-11-27,1.0,기타,3,0.0,1.0,0,1
