,영화명,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분,개봉연도,평균 제작비,국내배급사,상장배급사,주요배급사,개봉일관객수,개봉일매출액,개봉일매출비율,타겟,대표코드
111,해리포터와 죽음의 성물2,2011-07-13,0.0,757,34507819000,4400298,11183806000.0,1361311,판타지,3,1,2011,22.7,1.0,0.0,1,229946.0,1813241000.0,55.9,1,20111009
112,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,0.0,1056,34654558766,4313871,11315080666.0,1345720,액션,2,1,2014,20.1,1.0,0.0,1,213000.0,1676575600.0,60.7,0,20147669
113,아가씨,2016-06-01,1.0,1171,35114332791,4277071,10881501871.0,1283972,스릴러,0,1,2016,24.0,0.0,1.0,1,290024.0,2200581820.0,60.6,0,20144444
114,어메이징 스파이더맨 2,2014-04-23,0.0,1312,34869056800,4168350,10562832700.0,1187974,액션,2,1,2014,20.1,1.0,0.0,1,192229.0,1611578700.0,77.4,0,20135661
115,용의자,2013-12-24,1.0,807,30037161000,4131248,7563772000.0,997760,액션,1,1,2013,21.4,0.0,1.0,1,334061.0,2327993000.0,29.7,0,20124938
116,건축학개론,2012-03-22,1.0,593,30219800500,4110645,11003948000.0,1431173,멜로/로맨스,2,1,2012,20.3,0.0,1.0,1,66580.0,473831500.0,31.4,0,20124074
117,댄싱퀸,2012-01-18,1.0,534,30129259500,4057546,8223006000.0,1055086,코미디,2,1,2012,20.3,0.0,1.0,1,46500.0,337564000.0,17.6,0,20113743
118,꾼,2017-11-22,1.0,1314,31313568795,4018341,7524464445.0,931901,범죄,1,1,2017,26.3,0.0,1.0,1,213172.0,1564888600.0,62.1,1,20165748
119,혹성탈출: 반격의 서막,2014-07-10,0.0,922,31509793095,4002134,9067860195.0,1095630,액션,2,1,2014,20.1,1.0,0.0,1,201723.0,1547783900.0,45.8,1,20148973
120,타짜-신의 손,2014-09-03,1.0,890,32267244827,4001813,8495857527.0,1016403,드라마,0,1,2014,20.1,0.0,1.0,1,201749.0,1533302500.0,32.7,0,20134804
121,쿵푸팬더3,2016-01-28,0.0,1365,31340798156,3984812,8695148256.0,1045418,애니메이션,3,1,2016,24.0,0.0,1.0,1,222044.0,1658416200.0,60.3,0,20151803
122,캡틴 아메리카: 윈터 솔져,2014-03-26,0.0,1106,31710585385,3963220,10405400885.0,1237982,액션,1,1,2014,20.1,1.0,0.0,1,166787.0,1173000000.0,53.6,0,20147790
123,박수건달,2013-01-09,1.0,599,28343986569,3893216,6808915069.0,894127,코미디,1,1,2013,21.4,0.0,1.0,1,106959.0,759123500.0,25.7,1,20124935
124,베놈,2018-10-03,0.0,1308,34100211207,3888096,9452036857.0,1026909,액션,1,1,2018,26.8,1.0,0.0,1,740661.0,6536664400.0,49.6,0,20177221
125,조선명탐정 : 사라진 놉의 딸,2015-02-11,1.0,811,30456879428,3872015,6908501928.0,845522,사극,2,1,2015,19.9,0.0,1.0,1,113443.0,853823300.0,34.3,0,20149570
126,역린,2014-04-30,1.0,1054,29893297890,3849433,8426821290.0,1044988,사극,1,1,2014,20.1,0.0,1.0,1,287855.0,1933393300.0,53.4,0,20139183
127,매드 맥스: 분노의 도로,2015-05-14,0.0,799,32906364462,3842441,11443176062.0,1271954,액션,1,1,2015,19.9,1.0,0.0,1,89736.0,766408900.0,32.7,1,20144741
128,남한산성,2017-10-03,1.0,1229,31067321992,3829891,7375553392.0,889444,사극,1,1,2017,26.3,0.0,1.0,1,444585.0,3669119900.0,39.1,1,20165450
129,데드풀 2,2018-05-16,0.0,1576,34185664639,3784602,10757126939.0,1145250,액션,0,1,2018,26.8,1.0,0.0,1,356445.0,3042723300.0,79.8,0,20176848
130,암수살인,2018-10-03,1.0,1177,32855895548,3772620,7777232448.0,862386,범죄,1,1,2018,26.8,0.0,1.0,1,439309.0,3864284950.0,29.3,0,20179189
131,국가부도의 날,2018-11-28,1.0,1180,30891765837,3754983,7993870137.0,937443,드라마,2,1,2018,26.8,0.0,1.0,1,301330.0,1800650600.0,39.9,0,20177552
132,미이라,2017-06-06,0.0,1257,30504689978,3689325,7851059428.0,909202,액션,1,1,2017,26.3,1.0,0.0,1,873117.0,7395114400.0,58.7,1,20166488
133,82년생 김지영,2019-10-23,1.0,1486,30298542310,3678156,8396050370.0,994663,드라마,2,1,2019,29.0,0.0,1.0,1,138761.0,1105980170.0,48.3,1,20191029
134,분노의 질주: 홉스&쇼,2019-08-14,0.0,1311,32241767793,3657536,7717831533.0,839251,액션,2,1,2019,29.0,1.0,0.0,1,351556.0,2935002750.0,42.5,0,20196850
135,분노의 질주: 더 익스트림,2017-04-12,0.0,1469,29981156348,3653238,7936210998.0,932027,액션,1,1,2017,26.3,1.0,0.0,1,208481.0,1620818400.0,67.3,1,20167542
136,너의 이름은.,2017-01-04,0.0,947,29248867156,3637122,9352306256.0,1124392,애니메이션,2,1,2017,26.3,0.0,0.0,0,138028.0,1032712400.0,24.8,1,20161872
137,인턴,2015-09-24,0.0,496,28518443148,3610642,10024307548.0,1228273,코미디,2,1,2015,19.9,1.0,0.0,1,50009.0,382655000.0,12.8,0,20152022
138,라라랜드,2016-12-07,0.0,727,30006844694,3597193,13131083194.0,1536629,드라마,2,1,2016,24.0,0.0,0.0,1,62258.0,499764900.0,18.6,1,20167904
139,귀향,2016-02-24,1.0,876,27245051990,3586523,6310471892.0,801788,드라마,1,1,2016,24.0,0.0,0.0,0,158174.0,962008400.0,23.1,1,20161364
140,리얼 스틸,2011-10-12,0.0,603,26566677000,3579666,8578776500.0,1090591,액션,2,1,2011,22.7,1.0,0.0,1,63863.0,474694000.0,28.0,1,20112173
141,신의 한 수,2014-07-03,1.0,794,28777712256,3562123,8104315156.0,965372,범죄,0,1,2014,20.1,0.0,1.0,1,181459.0,1390445200.0,43.6,0,20139201
142,코코,2018-01-11,0.0,1177,27685479440,3510017,8547812240.0,1024250,애니메이션,3,1,2018,26.8,1.0,0.0,1,106921.0,801853900.0,20.5,1,20179985
143,부러진 화살,2012-01-18,1.0,453,25878110500,3450941,7619815000.0,972059,드라마,1,1,2012,20.3,0.0,1.0,1,30872.0,222597500.0,11.6,0,20113535
144,끝까지 간다,2014-05-29,1.0,645,27006007900,3450143,7567987400.0,927324,액션,1,1,2014,20.1,0.0,1.0,1,79698.0,590812000.0,24.6,0,20130442
145,비긴 어게인,2014-08-13,0.0,213,27096673061,3427464,10856208161.0,1324469,멜로/로맨스,1,0,2014,20.1,0.0,0.0,1,12032.0,89722200.0,1.4,1,20149629
146,스파이(한),2013-09-05,1.0,785,24436429305,3423920,5483475805.0,733029,액션,1,1,2013,21.4,0.0,1.0,1,133131.0,894351000.0,46.4,0,20124086
147,그것만이 내 세상,2018-01-17,1.0,862,27441213382,3417629,6258257482.0,759455,코미디,2,1,2018,26.8,0.0,1.0,1,126797.0,964523300.0,19.9,1,20176104
